crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,irrigatedarea_capped,annual_rainfall_mm,monsoon_rainfall_mm
Sugarcane,0.56,0.28999999,0.98000002,37,2017,6,Madhya Pradesh,63904,34186,1417,sehore,0.56,816.0899898,799.1999900000001
Sugarcane,0.059999999,0.02,0.050000001,39,2017,6,Madhya Pradesh,23628,20800,801,vidisha,0.050000001,808.1800098,787.12001
Sugarcane,11.29,7.1599998,13.81,40,2017,6,Madhya Pradesh,32640,10643,1553,betul,11.29,706.3000020100001,654.62
Sugarcane,4.0,1.8,4.3099999,43,2017,6,Madhya Pradesh,87707,51050,5087,hoshangabad,4.0,861.3400001,840.1300000000001
Sugarcane,11.58,85.190002,19.315001,44,2017,1,Andhra Pradesh,55301,19214,13016,srikakulam,11.58,906.65000498,674.830004
Sugarcane,10.32,91.25,19.6,46,2017,1,Andhra Pradesh,84246,30862,28384,east godavari,10.32,973.235020036,768.5845300000001
Sugarcane,7.9499998,84.949997,17.629999,47,2017,1,Andhra Pradesh,106191,49578,46863,west godavari,7.9499998,882.666894259,755.60771
Sugarcane,10.26,94.57,23.26,48,2017,1,Andhra Pradesh,84529,39105,20768,krishna,10.26,735.1999979,607.329997
Sugarcane,0.33000001,3.1700001,0.463,49,2017,1,Andhra Pradesh,173584,89900,25004,guntur,0.33000001,667.660011,518.73001
Sugarcane,0.49000001,6.1900001,0.70999998,51,2017,1,Andhra Pradesh,140564,80498,24777,kurnool,0.49000001,494.1200031,359.79
Sugarcane,18.18,173.74001,35.360001,54,2017,1,Andhra Pradesh,43320,15960,8962,chittoor,18.18,756.7400029998,382.300001
Sugarcane,1.66,12.98,0.0,55,2017,20,Telangana,29965,15280,10357,hyderabad,0.0,1119.8199991000001,708.28
Sugarcane,4.7199998,36.849998,0.63200003,56,2017,20,Telangana,93054,30033,11208,nizamabad,0.63200003,842.10002021,670.78002
Sugarcane,17.370001,121.36,2.6229999,57,2017,20,Telangana,13194,8958,2670,medak,2.6229999,918.33000999,666.8199999999999
Sugarcane,4.8400002,39.369999,0.95200002,58,2017,20,Telangana,74046,35010,8556,mahabubnagar,0.95200002,730.8286837080001,533.05583
Sugarcane,1.62,13.09,0.51700002,59,2017,20,Telangana,33043,14763,5605,nalgonda,0.51700002,725.410019,569.40002
Sugarcane,0.20999999,1.75,0.0020000001,60,2017,20,Telangana,122203,31481,16202,warangal,0.0020000001,965.94999941,791.53
Sugarcane,5.0599999,38.59,7.6199999,61,2017,20,Telangana,15181,8795,3643,khammam,5.0599999,928.23998741,793.1099899999999
Sugarcane,0.30000001,2.3,0.0,62,2017,20,Telangana,12532,5973,1849,karimnagar,0.0,767.4600009999999,637.0799999999999
Sugarcane,0.0,0.029999999,0.0060000001,63,2017,20,Telangana,59648,13502,6270,adilabad,0.0,746.7200086,623.0400099999999
Sugarcane,20.940001,234.75,20.940001,68,2017,5,Karnataka,49044,13855,9299,mandya,20.940001,820.6100028000001,467.17999000000003
Sugarcane,2.1700001,27.690001,2.1600001,69,2017,5,Karnataka,32894,19091,15439,hassan,2.1600001,885.5400008,583.919997
Sugarcane,3.8,41.119999,3.8,72,2017,5,Karnataka,63447,36388,13890,chitradurga,3.8,610.02999892,358.47999799999997
Sugarcane,22.51,186.78999,28.940001,74,2017,5,Karnataka,62588,31066,12903,dharwad,22.51,584.71999621,398.939997
Sugarcane,15.52,115.03,19.18,77,2017,5,Karnataka,10275,8497,2388,bidar,15.52,980.3699981,687.689999
Sugarcane,1.29,12.14,1.61,78,2017,5,Karnataka,115832,62617,22756,raichur,1.29,747.5600000000001,535.689999
Sugarcane,0.0099999998,0.1,0.02,80,2017,5,Karnataka,9700,6090,9147,dakshina kannada,0.0099999998,1854.0199787,1539.8999800000001
Sugarcane,24.559999,222.99001,1.5319999,86,2017,11,Tamil Nadu,46708,30730,23106,salem,1.5319999,837.4500048,347.430001
Sugarcane,4.48,37.540001,1.252,87,2017,11,Tamil Nadu,26117,14250,21215,coimbatore,1.252,773.103595,397.83985199999995
Sugarcane,8.54,92.0,13.572,89,2017,11,Tamil Nadu,70852,27786,27935,thanjavur,8.54,1354.27672424,329.41344200000003
Sugarcane,6.9699998,64.879997,1.426,90,2017,11,Tamil Nadu,34392,15902,13182,madurai,1.426,591.6000018999999,213.3800009
Sugarcane,0.0,0.050000001,0.0,93,2017,11,Tamil Nadu,4848,1399,1900,the nilgiris,0.0,789.275844,400.929327
Sugarcane,1.14,6.8499999,0.0,98,2017,7,Maharashtra,11045,3303,2364,ratnagiri,0.0,3776.5599497,3392.85996
Sugarcane,17.389999,146.61,0.0,100,2017,7,Maharashtra,74311,30280,28300,dhule,0.0,253.0000009,212.790001
Sugarcane,9.3299999,79.309998,0.0,101,2017,7,Maharashtra,96772,47696,74158,jalgaon,0.0,747.019993,674.49999
Sugarcane,104.4,1130.89,0.0,102,2017,7,Maharashtra,105164,66273,41883,ahmednagar,0.0,1729.0200297000001,1528.68003
Sugarcane,113.14,1327.0601,0.0,103,2017,7,Maharashtra,97238,48290,34456,pune,0.0,4107.0599600000005,3811.90996
Sugarcane,80.639999,798.38,0.0,104,2017,7,Maharashtra,49264,25804,19926,satara,0.0,4520.2399993,4152.49
Sugarcane,80.18,854.67999,0.0,105,2017,7,Maharashtra,54620,27950,24678,sangli,0.0,2191.54001981,1854.3000200000001
Sugarcane,100.5,1046.8101,0.0,106,2017,7,Maharashtra,101756,49267,38343,solapur,0.0,1091.2999799,906.30998
Sugarcane,143.89999,1477.9,0.0,107,2017,7,Maharashtra,70996,31024,30580,kolhapur,0.0,3451.9100198100004,2995.15002
Sugarcane,45.119999,259.03,0.0,108,2017,7,Maharashtra,136182,72462,41774,aurangabad,0.0,1633.4762349,1300.21667
Sugarcane,34.5,144.14999,0.0,109,2017,7,Maharashtra,52514,39238,16574,parbhani,0.0,754.1800021,665.220003
Sugarcane,36.049999,207.28999,0.0,110,2017,7,Maharashtra,60321,41388,21125,beed,0.0,869.7000102,702.41001
Sugarcane,23.0,149.5,0.0,111,2017,7,Maharashtra,75364,56691,30042,nanded,0.0,954.20000899,817.17001
Sugarcane,75.0,401.5,0.0,112,2017,7,Maharashtra,57017,50445,19119,osmanabad,0.0,761.61999772,603.700001
Sugarcane,0.25999999,1.29,0.0,113,2017,7,Maharashtra,46834,37943,13656,buldhana,0.0,321.48000579,294.050005
Sugarcane,0.2,0.92000002,0.0,114,2017,7,Maharashtra,34359,30699,10789,akola,0.0,274.760898712781,266.32345499999997
Sugarcane,2.1700001,13.01,0.0,117,2017,7,Maharashtra,30404,21073,16426,wardha,0.0,810.949980989,749.32998
Sugarcane,4.27,22.190001,0.0,118,2017,7,Maharashtra,50667,30322,10873,nagpur,0.0,964.8499978140001,894.6800000000001
Sugarcane,4.6999998,27.75,0.0,119,2017,7,Maharashtra,39166,17288,2044,bhandara,0.0,934.02999101,857.3499899999999
Sugarcane,0.029999999,0.13,0.0,120,2017,7,Maharashtra,56306,27211,6878,chandrapur,0.0,880.1599990088,792.41
Sugarcane,0.0099999998,0.059999999,0.0,122,2017,3,Gujarat,47379,24276,2811,amreli,0.0,0.0,0.0
Sugarcane,37.52,236.91,52.599998,124,2017,3,Gujarat,45972,10291,10661,bharuch,37.52,788.799997,759.0399970000001
Sugarcane,0.0,0.02,0.80000001,126,2017,3,Gujarat,62843,29291,5417,bhavnagar,0.0,577.11031656,560.5528509999999
Sugarcane,23.48,149.60001,23.1,127,2017,3,Gujarat,31633,10840,9019,valsad,23.1,2273.600111,2136.90011
Sugarcane,0.0099999998,0.050000001,0.0060000001,129,2017,3,Gujarat,46817,29139,4865,jamnagar,0.0060000001,690.46998,688.27998
Sugarcane,4.75,29.459999,6.5999999,130,2017,3,Gujarat,64706,33437,7048,junagadh,4.75,0.0,0.0
Sugarcane,0.12,0.72000003,0.115,131,2017,3,Gujarat,128342,16619,7165,kheda,0.115,534.837162536,530.939916
Sugarcane,0.14,0.88,0.17,135,2017,3,Gujarat,108519,54681,12824,rajkot,0.14,814.130492019,809.272438
Sugarcane,110.65,713.0,129.89999,137,2017,3,Gujarat,80074,30311,27213,surat,110.65,1069.6900289,1027.95003
Sugarcane,0.029999999,0.18000001,0.025,138,2017,3,Gujarat,83525,31749,2648,surendranagar,0.025,877.4300019998001,874.500002
Sugarcane,0.0,0.02,0.0,139,2017,10,Rajasthan,10572,6290,62,ajmer,0.0,523.70000111,477.6
Sugarcane,0.02,0.059999999,0.02,140,2017,10,Rajasthan,37580,5713,1337,alwar,0.02,552.47000972,530.44001
Sugarcane,0.029999999,0.20999999,0.0099999998,141,2017,10,Rajasthan,32995,5817,500,banswara,0.0099999998,69.99000089,52.9400011
Sugarcane,0.02,0.090000004,0.02,143,2017,10,Rajasthan,61795,20378,599,bharatpur,0.02,482.69999052000003,458.149991
Sugarcane,0.039999999,0.28999999,0.039999999,144,2017,10,Rajasthan,22307,5226,239,bhilwara,0.039999999,571.61000143,521.460001
Sugarcane,0.0,0.029999999,0.0,145,2017,10,Rajasthan,22487,10645,232,bikaner,0.0,303.1700092,278.21000899999996
Sugarcane,0.75999999,6.0100002,0.76999998,146,2017,10,Rajasthan,40163,12315,382,bundi,0.75999999,569.87999891,503.71999900000003
Sugarcane,1.77,12.86,1.78,147,2017,10,Rajasthan,45171,17017,1479,chittorgarh,1.77,601.61000613,562.460006
Sugarcane,0.0099999998,0.050000001,0.0099999998,149,2017,10,Rajasthan,6142,858,73,dungarpur,0.0099999998,73.7200017,62.9500017
Sugarcane,2.1099999,14.43,2.1199999,150,2017,10,Rajasthan,137173,58094,5526,ganganagar,2.1099999,464.3500098,433.67001
Sugarcane,0.039999999,0.25999999,0.039999999,151,2017,10,Rajasthan,60575,22655,1213,jaipur,0.039999999,365.46999501,339.779995
Sugarcane,0.0099999998,0.07,0.0099999998,154,2017,10,Rajasthan,30476,14084,346,jhalawar,0.0099999998,726.37000012,697.7
Sugarcane,0.0099999998,0.059999999,0.0099999998,157,2017,10,Rajasthan,82586,36328,1863,kota,0.0099999998,577.93998931,533.379991
Sugarcane,0.0099999998,0.11,0.02,161,2017,10,Rajasthan,15594,5243,286,sikar,0.0099999998,333.49999611,303.709995
Sugarcane,0.02,0.090000004,0.02,163,2017,10,Rajasthan,22553,9945,209,tonk,0.02,418.95999951,388.439999
Sugarcane,0.52999997,3.4200001,0.54000002,164,2017,10,Rajasthan,34494,10333,2659,udaipur,0.52999997,310.54001208,303.500012
Sugarcane,26.0,218.7,23.23,165,2017,9,Punjab,87626,16847,2293,gurdaspur,23.23,15.149999998,13.5
Sugarcane,7.0,59.599998,6.6300001,166,2017,9,Punjab,137546,37153,5623,amritsar,6.6300001,20.6200009996,20.370000999800002
Sugarcane,4.0,33.5,4.0900002,167,2017,9,Punjab,43368,6625,2281,kapurthala,4.0,41.750000019,40.159999999
Sugarcane,14.66,125.26,14.427,168,2017,9,Punjab,84815,29066,4517,jalandhar,14.427,39.559997999800004,36.71999798980001
Sugarcane,25.34,201.84,24.603001,169,2017,9,Punjab,55772,21295,3397,hoshiarpur,24.603001,26.839999978799998,25.439999979
Sugarcane,3.45,31.049999,3.4849999,171,2017,9,Punjab,167082,26004,2370,ludhiana,3.45,7.9399999988,6.2999998898
Sugarcane,5.2399998,47.400002,4.6020002,175,2017,9,Punjab,139068,36351,4210,sangrur,4.6020002,2.9999999996,2.7499999996
Sugarcane,4.8099999,43.549999,5.1729999,176,2017,9,Punjab,158811,21365,6382,patiala,4.8099999,11.351529706,11.085099862
Sugarcane,212.7,1535.08,176.27299,189,2017,12,Uttar Pradesh,74705,22791,3929,saharanpur,176.27299,688.9799995999999,592.29
Sugarcane,239.17999,2113.77,220.565,190,2017,12,Uttar Pradesh,61628,22361,4033,muzaffarnagar,220.565,523.42000429,448.320003
Sugarcane,257.45001,2326.51,249.26601,191,2017,12,Uttar Pradesh,126304,42423,8036,meerut,249.26601,498.64999811,439.509997
Sugarcane,7.8699999,58.540001,5.4959998,194,2017,12,Uttar Pradesh,147208,53176,14941,aligarh,5.4959998,530.5699908,479.83999
Sugarcane,0.51999998,2.96,0.36000001,195,2017,12,Uttar Pradesh,79175,27861,4306,mathura,0.36000001,347.2599942,305.649994
Sugarcane,0.28999999,1.67,0.133,196,2017,12,Uttar Pradesh,136016,50349,22334,agra,0.133,283.66999799,245.96999799999998
Sugarcane,0.50999999,2.9200001,0.33199999,197,2017,12,Uttar Pradesh,83825,33051,4412,mainpuri,0.33199999,591.7799908998,548.679991
Sugarcane,7.1999998,53.360001,6.3070002,198,2017,12,Uttar Pradesh,71089,28153,5522,etah,6.3070002,479.749997,440.159997
Sugarcane,96.959999,776.59998,78.838997,199,2017,12,Uttar Pradesh,61248,18465,3575,bareilly,78.838997,864.510008918,826.240009
Sugarcane,44.529999,331.78,35.487,200,2017,12,Uttar Pradesh,70074,24426,4650,budaun,35.487,699.85001201,654.770011
Sugarcane,142.64,1171.08,148.338,201,2017,12,Uttar Pradesh,77372,21815,4821,moradabad,142.64,948.91999902,897.1
Sugarcane,45.740002,371.07999,55.909,202,2017,12,Uttar Pradesh,109135,34321,7757,shahjahanpur,45.740002,848.499998894,791.269999
Sugarcane,79.279999,643.38,65.247002,203,2017,12,Uttar Pradesh,43952,12733,3917,pilibhit,65.247002,1061.89000439,991.670003
Sugarcane,21.85,163.94,23.086,204,2017,12,Uttar Pradesh,26893,5349,1051,rampur,21.85,901.4699978098,857.379998
Sugarcane,201.63,1681.51,215.533,205,2017,12,Uttar Pradesh,42398,14381,3426,bijnor,201.63,659.5799812299999,611.789981
Sugarcane,8.3599997,54.630001,8.6569996,206,2017,12,Uttar Pradesh,97642,27112,10933,farrukhabad,8.3599997,673.970000998,630.25
Sugarcane,1.09,7.0599999,0.92900002,207,2017,12,Uttar Pradesh,67862,27997,2552,etawah,0.92900002,493.520001,450.760001
Sugarcane,6.3800001,23.42,7.6690001,209,2017,12,Uttar Pradesh,49651,20660,2863,fatehpur,6.3800001,754.9199912,728.309991
Sugarcane,0.18000001,0.69999999,0.119,211,2017,12,Uttar Pradesh,66983,48399,2534,jhansi,0.119,487.34999170000003,450.439993
Sugarcane,1.04,4.1100001,0.82300001,213,2017,12,Uttar Pradesh,34091,17988,1110,jalaun,0.82300001,476.360000101,415.319999
Sugarcane,8.7299995,33.470001,6.3249998,214,2017,12,Uttar Pradesh,33248,20580,1666,hamirpur,6.3249998,1807.729978,1487.169973
Sugarcane,0.64999998,2.5,0.44800001,215,2017,12,Uttar Pradesh,31565,19178,2047,banda,0.44800001,745.58001419,725.660014
Sugarcane,4.3600001,30.43,4.2639999,216,2017,12,Uttar Pradesh,87883,26904,4706,varanasi,4.2639999,738.02000302,722.7200029999999
Sugarcane,9.5200005,62.68,7.6690001,218,2017,12,Uttar Pradesh,48177,17780,2322,jaunpur,7.6690001,810.0600000000001,781.48
Sugarcane,7.3099999,45.25,4.3210001,219,2017,12,Uttar Pradesh,47591,18207,2463,ghazipur,4.3210001,741.9799981000001,694.669997
Sugarcane,6.48,35.619999,4.006,220,2017,12,Uttar Pradesh,35302,15283,2455,ballia,4.006,801.2300095,722.700012
Sugarcane,19.98,131.38,16.330999,221,2017,12,Uttar Pradesh,111370,33124,9619,gorakhpur,16.330999,1064.770000199,967.42
Sugarcane,79.110001,573.87,63.775002,222,2017,12,Uttar Pradesh,62812,23174,5327,deoria,63.775002,939.2900078,842.89001
Sugarcane,45.959999,303.70001,50.811001,223,2017,12,Uttar Pradesh,88716,31875,7716,basti,45.959999,958.9299910999999,886.90999
Sugarcane,25.559999,155.61,20.306,224,2017,12,Uttar Pradesh,79550,30817,4398,azamgarh,20.306,991.310012,924.900011
Sugarcane,0.27000001,2.0799999,0.121,225,2017,12,Uttar Pradesh,21074,9715,622,lucknow,0.121,775.960003788,727.330004
Sugarcane,0.61000001,4.7800002,1.247,226,2017,12,Uttar Pradesh,41140,16272,1593,unnao,0.61000001,655.21001189,606.410013
Sugarcane,153.46001,1158.91,145.576,228,2017,12,Uttar Pradesh,88206,32282,7455,sitapur,145.576,905.2599951,825.9399940000001
Sugarcane,37.34,282.07001,36.443001,229,2017,12,Uttar Pradesh,94914,35036,2807,hardoi,36.443001,710.40999401,649.749995
Sugarcane,248.13,2002.65,281.51501,230,2017,12,Uttar Pradesh,45798,15564,4193,kheri,248.13,1142.94137737,1036.252406
Sugarcane,123.7,847.90997,108.364,232,2017,12,Uttar Pradesh,60511,21845,5206,gonda,108.364,914.9799909000001,817.03999
Sugarcane,30.6,216.28,25.700001,233,2017,12,Uttar Pradesh,76222,28989,12216,bahraich,25.700001,979.620011099,863.960011
Sugarcane,10.35,66.699997,9.533,234,2017,12,Uttar Pradesh,50043,20285,2169,sultanpur,9.533,657.4200000000001,609.54
Sugarcane,0.82999998,3.05,0.85399997,235,2017,12,Uttar Pradesh,28992,11866,4210,pratapgarh,0.82999998,821.08001572,777.0900158
Sugarcane,9.25,73.550003,8.9250002,236,2017,12,Uttar Pradesh,57527,17469,2933,barabanki,8.9250002,809.9500091990001,748.220009
Sugarcane,17.77,122.65,17.690001,237,2017,16,Uttarakhand,117390,15316,6314,nainital,17.690001,1305.1199669989999,1074.78997
Sugarcane,3.8800001,26.200001,3.8599999,244,2017,16,Uttarakhand,3319,887,99,dehradun,3.8599999,1419.330008999,1146.29001
Sugarcane,0.44999999,1.5599999,0.0,601,2017,17,Assam,18845,6022,5409,cachar,0.0,3795.7206985000003,2143.05142
Sugarcane,3.8800001,14.55,0.0,602,2017,17,Assam,17159,5484,4925,darrang,0.0,1534.46326112,906.07673
Sugarcane,0.38999999,1.48,0.0,603,2017,17,Assam,15212,4861,4367,dibrugarh,0.0,2223.67998,1255.4399899999999
Sugarcane,1.0700001,4.0100002,0.0,604,2017,17,Assam,30285,9638,8693,goalpara,0.0,2917.020001,1984.6499900000001
Sugarcane,1.78,5.9000001,0.18000001,605,2017,17,Assam,27341,8737,7849,kamrup,0.18000001,2048.8481108,1274.37878
Sugarcane,7.9000001,27.889999,0.0,606,2017,17,Assam,3226,1031,926,karbi anglong,0.0,0.0,0.0
Sugarcane,0.56,2.3099999,0.050000001,607,2017,17,Assam,10347,3306,2966,lakhimpur,0.050000001,2702.3141776,1775.56567
Sugarcane,6.98,25.59,0.0,609,2017,17,Assam,15521,4960,4456,nagaon,0.0,1654.64000899,994.18001
Sugarcane,0.79000002,1.25,0.27200001,629,2017,18,Himachal Pradesh,14180,2766,1409,kangra,0.27200001,1478.69001199,1190.3000200000001
Sugarcane,0.050000001,0.1,0.0089999996,633,2017,18,Himachal Pradesh,2429,474,253,solan,0.0089999996,847.209998,624.739997
Sugarcane,1.03,2.3199999,0.294,636,2017,18,Himachal Pradesh,3375,665,387,sirmaur,0.294,1049.1399862,753.0799999999999
Sugarcane,0.029999999,0.23,0.039999999,651,2017,19,Kerala,9747,2587,2629,alappuzha,0.029999999,1131.58998723,726.98999
Sugarcane,0.0,0.039999999,0.0040000002,652,2017,19,Kerala,11783,4305,7718,kannur,0.0,965.229992,896.6299899999999
Sugarcane,0.75,8.3500004,0.671,655,2017,19,Kerala,25706,9087,12772,kottayam,0.671,865.2600022,581.350009
Sugarcane,0.079999998,0.75,0.171,658,2017,19,Kerala,28176,5271,6717,palakkad,0.079999998,718.110002,570.08
Sugarcane,0.0099999998,0.079999998,0.0099999998,659,2017,19,Kerala,6507,3559,4216,kollam,0.0099999998,1140.8200099,687.790002
Sugarcane,27.85,188.09,21.02,902,2017,2,Bihar,109463,43421,21188,muzaffarpur,21.02,830.1700001099999,642.720001
Sugarcane,5.04,29.889999,2.8499999,903,2017,2,Bihar,79877,31528,13340,darbhanga,2.8499999,1216.00998598,1001.969987
Sugarcane,0.15000001,0.87,0.13,904,2017,2,Bihar,44082,18294,11692,saharsa,0.13,1101.630021,839.480022
Sugarcane,27.690001,158.7,19.629999,906,2017,2,Bihar,65685,16211,3535,saran,19.629999,529.98999122,359.05000199999995
Sugarcane,0.23,1.42,0.12,907,2017,2,Bihar,90899,24771,4278,patna,0.12,700.57999799,504.499998
Sugarcane,2.6300001,14.79,0.81999999,909,2017,2,Bihar,60780,19306,11211,bhagalpur,0.81999999,958.22998799,625.79999
Sugarcane,0.31999999,1.5599999,0.19,912,2017,2,Bihar,99317,30221,4369,gaya,0.19,765.72999009,592.5899890000001
